timestamp,배치번호,공정명,tool_id,slurry_flow_ml_min,removal_rate_nm_min,pressure_center_psi,pressure_middle_psi,pressure_edge_psi,is_abnormal,abnormal_type
2026-03-01 08:00:00,A1VWN.1,CBCMP,CBCMP_T03,242.59075415240278,188.82802501444368,2.9843576050271903,4.032347243198429,5.020392415844748,0,NORMAL
2026-03-01 08:01:00,A1VWN.1,CBCMP,CBCMP_T03,246.10211942563208,189.14584073095298,3.0499800345864463,4.013934178690143,5.001145908471143,0,NORMAL
2026-03-01 08:02:00,A1VWN.1,CBCMP,CBCMP_T03,239.08338650110667,182.53343482953858,3.033126633720148,3.9579848185988844,5.008888524967944,0,NORMAL
2026-03-01 08:03:00,A1VWN.1,CBCMP,CBCMP_T03,239.09345217220329,191.34142277631946,2.994901976114019,4.0048861459493015,4.9296561096691525,0,NORMAL
2026-03-01 08:04:00,A1VWN.1,CBCMP,CBCMP_T03,246.35685126202955,192.4815095880648,2.9407244397352117,3.973028048219677,5.002230425857563,0,NORMAL
2026-03-01 08:05:00,A1VWN.1,CBCMP,CBCMP_T03,243.11973891661165,190.62712028820238,2.8939606942719895,4.007946214167587,5.0453178445033355,0,NORMAL
2026-03-01 08:06:00,A1VWN.1,CBCMP,CBCMP_T03,238.1821024562602,188.5478427752511,2.9687439533553084,4.046349147216473,5.1320540683093485,0,NORMAL
2026-03-01 08:07:00,A1VWN.1,CBCMP,CBCMP_T03,242.24024017434385,183.38238952112985,3.0599479156026432,4.111021177130175,5.087293645173754,0,NORMAL
2026-03-01 08:08:00,A1VWN.1,CBCMP,CBCMP_T03,238.22632922875016,187.64151264734824,3.0149865620891143,3.9133529150821205,5.195939603633551,0,NORMAL
2026-03-01 08:09:00,A1VWN.1,CBCMP,CBCMP_T03,238.22708098571897,188.03930199479558,2.912798285490161,4.149312336225939,4.930171371777187,0,NORMAL
2026-03-01 08:10:00,A1VWN.1,CBCMP,CBCMP_T03,241.06784908626412,186.26082648941946,3.0121226648095827,3.863353854033425,5.079381177941582,0,NORMAL
2026-03-01 08:11:00,A1VWN.1,CBCMP,CBCMP_T03,232.45687902136882,187.92380966551633,3.0269722165810187,3.989375043347509,5.01668412252219,0,NORMAL
2026-03-01 08:12:00,A1VWN.1,CBCMP,CBCMP_T03,233.22032866994786,190.8959134446633,2.938129979465921,4.0411822044539205,5.199272066922808,0,NORMAL
2026-03-01 08:13:00,A1VWN.1,CBCMP,CBCMP_T03,237.8808498830361,199.15348248499916,3.010760757416187,4.019669430741453,4.926444856032681,0,NORMAL
2026-03-01 08:14:00,A1VWN.1,CBCMP,CBCMP_T03,236.08867551866228,190.28085065751839,3.00407461029122,3.9564110336125586,4.923585312361549,0,NORMAL
2026-03-01 08:15:00,A1VWN.1,CBCMP,CBCMP_T03,241.4069893303811,191.66101003308242,2.9199920791518563,3.9854314424749906,4.945455269264594,0,NORMAL
